constructor_id,name,nationality
red_bull,Red Bull,Austrian
aston_martin,Aston Martin,British
ferrari,Ferrari,Italian
mercedes,Mercedes,German
alfa,Alfa Romeo,Swiss
alpine,Alpine F1 Team,French
williams,Williams,British
alphatauri,AlphaTauri,Italian
haas,Haas F1 Team,American
mclaren,McLaren,British
jaguar,Jaguar,British
minardi,Minardi,Italian
toyota,Toyota,Japanese
bar,BAR,British
arrows,Arrows,British
jordan,Jordan,Irish
renault,Renault,French
sauber,Sauber,Swiss
honda,Honda,Japanese
toro_rosso,Toro Rosso,Italian
bmw_sauber,BMW Sauber,German
mf1,MF1,Russian
super_aguri,Super Aguri,Japanese
spyker_mf1,Spyker MF1,Dutch
spyker,Spyker,Dutch
force_india,Force India,Indian
brawn,Brawn,British
lotus_racing,Lotus,Malaysian
hrt,HRT,Spanish
virgin,Virgin,British
lotus_f1,Lotus F1,British
marussia,Marussia,Russian
caterham,Caterham,Malaysian
manor,Manor Marussia,British
racing_point,Racing Point,British
rb,RB F1 Team,Italian
audi,Audi,German
cadillac,Cadillac F1 Team,American
